Datum;Tijd;Parameter;Locatie;Meting;Verwachting;Astronomisch getijden;Eenheid;Bemonsteringshoogte;Referentievlak;
11-6-2019;11:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;-35;;;cm;-999999999;NAP;
11-6-2019;12:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;-27;;;cm;-999999999;NAP;
11-6-2019;12:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;-20;;;cm;-999999999;NAP;
11-6-2019;12:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;-10;;;cm;-999999999;NAP;
11-6-2019;12:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;-1;;;cm;-999999999;NAP;
11-6-2019;12:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;8;;;cm;-999999999;NAP;
11-6-2019;12:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;16;;;cm;-999999999;NAP;
11-6-2019;13:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;25;;;cm;-999999999;NAP;
11-6-2019;13:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;33;;;cm;-999999999;NAP;
11-6-2019;13:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;41;;;cm;-999999999;NAP;
11-6-2019;13:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;49;;;cm;-999999999;NAP;
11-6-2019;13:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;55;;;cm;-999999999;NAP;
11-6-2019;13:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Kornwerderzand buiten;60;;;cm;-999999999;NAP;
